Network built: 131 buses, 191 lines, 16 trafos, 103 loads, 22 gens, 2 ext_grid(s)

Running AC power flow (pp.runpp) ...

=== Bus results (res_bus) ===
        vm_pu  va_degree         p_mw      q_mvar                   name  vn_kv
       p_hv_mw   q_hv_mvar  ...  loading_percent            name
0   361.440184   25.072115  ...       120.769578           26-25
1   254.411916  -82.186399  ...        71.656562             8-5
2    -3.727110  -16.058235  ...         6.687646  Tr2-2061408755
3    -3.727110  -16.058235  ...         6.687646   Tr2-356395179
4  -101.269522   79.193852  ...        41.691858           68-69
5    61.508510    0.700001  ...        20.504164           65-66
6    -0.423775  287.715046  ...        44.258402             Aac
7   -41.958908  168.246655  ...        54.595573           81-80
8    -1.863555  -13.463296  ...         5.611093   Tr2-959218037
9   194.074979   31.555012  ...        64.936644           63-59
10   -1.863555  -13.463296  ...         5.611093   Tr2-857280823
11   -0.038622  160.905189  ...        48.148269          Aaa(1)
12   -3.703244   -8.221417  ...        18.372985           86-87
13  235.251441  -11.565320  ...        86.902081           30-17
14  262.422741   78.901280  ...        99.841867           38-37
15   67.492157   66.668537  ...        23.311234           64-61

[16 rows x 14 columns]

=== Generator results (res_gen) ===
         p_mw      q_mvar  va_degree  vm_pu             name  bus
0   292.57800  238.357689   0.000000    1.0      TannrsCk SM   17
1   204.99100  115.271466  -7.936190    1.0      TannrsCk SM   20
2     3.72711   16.298388 -19.047419    1.0   SynM-240675702    7
3   766.35700    7.355130  -9.811255    1.0      ClinchRv SM   46
4     0.00000    0.000000   0.000000    0.0         Breed SM   77
5     3.72711   16.298388 -19.047419    1.0  SynM-1625425244    7
6   478.41000  -42.877860 -25.970081    1.0         Sporn SM   99
7   190.08300  144.564736 -38.403170    1.0         Philo SM  117
8    37.27110   94.808889 -32.007412    1.0       Claytor SM   43
9    79.20120  326.370611 -53.890116    1.0      TwinBrch SM  120
10    3.72711    8.396446 -20.336920    1.0      Pinevlle SM   25
11    6.52245  200.864263 -40.081341    1.0       DeerCrk SM  128
12  444.45800  -13.261635 -26.924799    1.0      CabinCrk SM   31
13  234.80800   92.640585 -27.441169    1.0      Glen Lyn SM  116
14   17.70380   51.316768 -41.481652    1.0      W.Lancst SM   97
15  149.08500  -67.749162 -34.826577    1.0      W.Kammer SM    4
16  144.42600   59.036815 -40.210910    1.0          Tidd SM   38
17   33.54400   40.685421 -38.201681    1.0      DanRiver SM  127
18   44.72540  128.495014 -45.431628    1.0        Torrey SM   22
19    3.72711   27.806796 -16.749856    1.0   SynM-524781358   16
20  364.32500 -247.335987 -29.198622    1.0      Muskngum SM   13
21  365.25700  -34.229457 -30.502681    1.0      Muskngum SM  111

=== External grid feed-in (res_ext_grid) ===
         p_mw  q_mvar                          name  bus
0  359.392113     0.0  External Network Injection 1   17
1  359.392113     0.0  External Network Injection 2   17

=== Summary ===
Total load:  P = 4332.30 MW, Q = 1072.50 MVAr
Total gen:   P = 3868.65 MW, Q = 1163.11 MVAr
Ext. grid:   P = 718.78 MW, Q = 0.00 MVAr
Min/max bus voltage: 0.8439 / 1.1113 p.u.
Max line loading: 181.1 %
